genre,rank_within_genre,tmdb_id,title,release_year,release_date,popularity,vote_average,vote_count,poster_url,overview,source_tmdb_genres,source_sort_orders
Action,1,1228710,The Mandalorian and Grogu,2026,2026-05-20,180.214,6.7,522,https://image.tmdb.org/t/p/w500/5Vi8dSauVwH1HOsiZceDMbRr1Ca.jpg,"The evil Empire has fallen, and Imperial warlords remain scattered throughout the galaxy. As the fledgling New Republic works to protect everything the Rebellion fought for, they have enlisted the help of legendary Mandalorian bounty hunter Din Djarin and his young apprentice Grogu.",Action,primary_release_date.desc|popularity.desc
Action,2,1380291,Tom Clancy's Jack Ryan: Ghost War,2026,2026-05-20,92.0072,7.041,611,https://image.tmdb.org/t/p/w500/8ehYxUh5MWE41AeE9gkHE8DKzvB.jpg,"Jack Ryan is reluctantly pulled back into espionage when an international covert mission unravels a deadly conspiracy. Racing against time, he joins CIA allies Mike November & James Greer and sharp MI6 officer Emma Marlowe to battle a rogue black-ops unit in a high-stakes, deeply personal fight.",Action,primary_release_date.desc|popularity.desc
Action,3,1122573,In the Grey,2026,2026-05-13,111.0813,6.642,272,https://image.tmdb.org/t/p/w500/dQgIcW6Th08kMRf2HBoYWoFE6OD.jpg,"A covert team of elite operatives are living in the shadows. When a ruthless despot steals a billion-dollar fortune, they're sent to take it back—an impossible heist that erupts into a deadly game of strategy, deception and survival.",Action,primary_release_date.desc|popularity.desc
Action,4,1439930,The Punisher: One Last Kill,2026,2026-05-12,126.4529,8.343,1717,https://image.tmdb.org/t/p/w500/qQclTgLMDvGBuUBFGHRipxkEwWR.jpg,"As Frank Castle searches for meaning beyond revenge, an unexpected force pulls him back into the fight.",Action,primary_release_date.desc|popularity.desc|vote_average.desc
Action,5,931285,Mortal Kombat II,2026,2026-05-06,274.8922,7.995,1668,https://image.tmdb.org/t/p/w500/hwRdDFIhaEmpRgoki805YvyyjZf.jpg,"The fan favorite champions—now joined by Johnny Cage himself—are pitted against one another in the ultimate, no-holds barred, gory battle to defeat the dark rule of Shao Kahn that threatens the very existence of the Earthrealm and its defenders.",Action,primary_release_date.desc|popularity.desc|vote_average.desc
Action,6,1630423,My Dearest Assassin,2026,2026-05-06,35.3054,8.639,255,https://image.tmdb.org/t/p/w500/ul4dQcA68mtSx8J56N5gEcaCCtP.jpg,"Hunted for her rare blood type, a caged woman vows to fight alongside the assassin she loves to protect their future when an old enemy resurfaces.",Action,primary_release_date.desc|popularity.desc|vote_average.desc
Action,7,1318447,Apex,2026,2026-04-24,65.9215,6.82,1528,https://image.tmdb.org/t/p/w500/eTp7gSPkSF3Aw79mNx1NkBP1PZT.jpg,A grieving woman pushing her limits on a solo adventure in the Australian wild is ensnared in a twisted game with a cunning killer who thinks she's prey.,Action,primary_release_date.desc|popularity.desc
Action,8,1292695,They Will Kill You,2026,2026-03-25,32.7297,7.013,824,https://image.tmdb.org/t/p/w500/nSXCFSvI2p5WLgMrOHACbVnEJSR.jpg,"A woman answers a help wanted ad to be a housekeeper in a mysterious New York City high-rise, unaware that she is entering a community that has seen a number of disappearances over the years and may be under the grip of a Satanic cult.",Action,primary_release_date.desc|popularity.desc
Action,9,1390300,Over Your Dead Body,2026,2026-03-14,44.6143,6.561,337,https://image.tmdb.org/t/p/w500/kZCauMzAt9eMAhLMopCqnFw1Q5k.jpg,"A dysfunctional couple head to a remote cabin to ""reconnect"", but each has secret intentions to kill the other.",Action,primary_release_date.desc|popularity.desc
Action,10,1084187,Pretty Lethal,2026,2026-03-13,35.9619,6.769,422,https://image.tmdb.org/t/p/w500/znTPnXCK3lEQJgqXCvP7e5FUz6f.jpg,A troupe of ballerinas find themselves fighting for survival as they attempt to escape from a remote inn after their bus breaks down on the way to a dance competition.,Action,primary_release_date.desc|popularity.desc
Action,11,1613798,Vengeance,2026,2026-02-26,43.712,7.49,262,https://image.tmdb.org/t/p/w500/ygWXPL0RS91JyJPNOfK34eV3bRE.jpg,"The brutal murder of the wife of “Toro,” a military hero in the special forces, turns him into a man with a single purpose: revenge. After a stroke of fate makes him a millionaire, Carlos transforms his fortune into an arsenal and, together with his closest soldiers, sets out to hunt down those responsible.",Action,primary_release_date.desc|popularity.desc
Action,12,1383731,Instinto protector,2026,2026-02-20,25.5743,8.548,356,https://image.tmdb.org/t/p/w500/icOZpnGuH9YrEaW3wrw5GJaXGih.jpg,"Nikki's life is shattered when her daughter is kidnapped. Thrust into the criminal underworld while hunted by cops and military, she must fight to rescue her child.",Action,primary_release_date.desc|popularity.desc|vote_average.desc
Action,13,1119449,"Good Luck, Have Fun, Don't Die",2026,2026-02-13,22.7131,7.038,615,https://image.tmdb.org/t/p/w500/rWcfOdY7TU6lTdazWj0ebDZnAfO.jpg,A 'Man from the Future' arrives at an LA diner where he must recruit the precise combination of disgruntled patrons to join him on a one-night quest to save the world from the terminal threat of a rogue artificial intelligence.,Action,primary_release_date.desc|popularity.desc
