movie_id_raw,title,movie_title,year,poster_url,source,source_id,matched_title,updated_at
1,Toy Story (1995),Toy Story,1995,https://en.wikipedia.org/wiki/Special:FilePath/Toy_Story.jpg,wikipedia-infobox,Q171048,Toy Story,2026-06-20T13:18:23+00:00
2,Jumanji (1995),Jumanji,1995,https://en.wikipedia.org/wiki/Special:FilePath/Jumanji_poster.jpg,wikipedia-infobox,Q222939,Jumanji,2026-06-20T13:18:23+00:00
3,Grumpier Old Men (1995),Grumpier Old Men,1995,https://en.wikipedia.org/wiki/Special:FilePath/Grumpier_old_menposter.jpg,wikipedia-infobox,Q782465,Grumpier Old Men,2026-06-20T13:18:23+00:00
4,Waiting to Exhale (1995),Waiting to Exhale,1995,https://en.wikipedia.org/wiki/Special:FilePath/WaitingExhale.jpg,wikipedia-infobox,Q736254,Waiting to Exhale,2026-06-20T13:18:23+00:00
5,Father of the Bride Part II (1995),Father of the Bride Part II,1995,https://en.wikipedia.org/wiki/Special:FilePath/Father_of_the_bride_part_ii.jpg,wikipedia-infobox,Q1304560,Father of the Bride Part II,2026-06-20T13:18:23+00:00
6,Heat (1995),Heat,1995,https://en.wikipedia.org/wiki/Special:FilePath/Heatposter.jpg,wikipedia-infobox,Q42198,Heat,2026-06-20T13:18:23+00:00
7,Sabrina (1995),Sabrina,1995,https://en.wikipedia.org/wiki/Special:FilePath/Sabrina_%281995_film%29.jpg,wikipedia-infobox,Q900708,Sabrina,2026-06-20T13:18:23+00:00
8,Tom and Huck (1995),Tom and Huck,1995,https://en.wikipedia.org/wiki/Special:FilePath/Tomandhuck_poster.jpg,wikipedia-infobox,Q1616185,Tom and Huck,2026-06-20T13:18:23+00:00
9,Sudden Death (1995),Sudden Death,1995,https://en.wikipedia.org/wiki/Special:FilePath/Sudden_Death_%281995_film_poster%29.jpg,wikipedia-infobox,Q241309,Sudden Death,2026-06-20T13:18:23+00:00
10,GoldenEye (1995),GoldenEye,1995,https://en.wikipedia.org/wiki/Special:FilePath/GoldenEye_-_UK_cinema_poster.jpg,wikipedia-infobox,Q19089,GoldenEye,2026-06-20T13:18:23+00:00
11,"American President, The (1995)","American President, The",1995,https://en.wikipedia.org/wiki/Special:FilePath/The_American_President_%28movie_poster%29.jpg,wikipedia-infobox,Q429311,The American President,2026-06-20T13:19:07+00:00
12,Dracula: Dead and Loving It (1995),Dracula: Dead and Loving It,1995,https://en.wikipedia.org/wiki/Special:FilePath/Drac_dead_and_loving_it.jpg,wikipedia-infobox,Q1254469,Dracula: Dead and Loving It,2026-06-20T13:19:07+00:00
13,Balto (1995),Balto,1995,https://en.wikipedia.org/wiki/Special:FilePath/Balto_movie_poster.jpg,wikipedia-infobox,Q764116,Balto,2026-06-20T13:19:07+00:00
14,Nixon (1995),Nixon,1995,https://en.wikipedia.org/wiki/Special:FilePath/Nixonmovieposter.jpg,wikipedia-infobox,Q839042,Nixon,2026-06-20T13:19:07+00:00
15,Cutthroat Island (1995),Cutthroat Island,1995,https://en.wikipedia.org/wiki/Special:FilePath/Cutthroat_island_ver2.jpg,wikipedia-infobox,Q1051496,Cutthroat Island,2026-06-20T13:19:07+00:00
16,Casino (1995),Casino,1995,https://en.wikipedia.org/wiki/Special:FilePath/Casino_%28Martins_Scorsese_film%29.png,wikipedia-infobox,Q220910,Casino,2026-06-20T13:19:07+00:00
17,Sense and Sensibility (1995),Sense and Sensibility,1995,https://en.wikipedia.org/wiki/Special:FilePath/Sense_and_sensibility.jpg,wikipedia-infobox,Q643263,Sense and Sensibility,2026-06-20T13:19:07+00:00
18,Four Rooms (1995),Four Rooms,1995,https://en.wikipedia.org/wiki/Special:FilePath/Four_rooms_ver2.jpg,wikipedia-infobox,Q1137372,Four Rooms,2026-06-20T13:19:07+00:00
19,Ace Ventura: When Nature Calls (1995),Ace Ventura: When Nature Calls,1995,https://en.wikipedia.org/wiki/Special:FilePath/AceVenturaWhenNatureCallsposter.jpg,wikipedia-infobox,Q340127,Ace Ventura: When Nature Calls,2026-06-20T13:19:07+00:00
20,Money Train (1995),Money Train,1995,https://en.wikipedia.org/wiki/Special:FilePath/Money_Train.jpg,wikipedia-infobox,Q1163081,Money Train,2026-06-20T13:19:07+00:00
21,Get Shorty (1995),Get Shorty,1995,https://en.wikipedia.org/wiki/Special:FilePath/Get_shorty.jpg,wikipedia-infobox,8549241,Get Shorty (film),2026-06-20T13:34:25+00:00
22,Copycat (1995),Copycat,1995,https://en.wikipedia.org/wiki/Special:FilePath/Copycat_ver1.jpg,wikipedia-infobox,3154773,Copycat (1995 film),2026-06-20T13:34:21+00:00
23,Assassins (1995),Assassins,1995,https://en.wikipedia.org/wiki/Special:FilePath/Assassins_ver1.jpg,wikipedia-infobox,3300211,Assassins (1995 film),2026-06-20T13:34:21+00:00
24,Powder (1995),Powder,1995,https://en.wikipedia.org/wiki/Special:FilePath/Powder_poster.jpg,wikipedia-infobox,2731003,Powder (1995 film),2026-06-20T13:34:21+00:00
